    交易日期    |    交易方向    |   股票代码    |   成交均价   |   成交数量   |   手续费   
---------------------------------------------------------------------------
[2020-05-08]  买入 (BUY)   | 601398.SH | ¥   5.10 |      914 股 | ¥6.9921
[2020-05-15]  卖出 (SELL)  | 002261.SZ | ¥   9.18 |   -11594 股 | ¥159.6494
[2020-05-15]  卖出 (SELL)  | 600958.SH | ¥   9.40 |   -10912 股 | ¥153.8592
[2020-05-15]  卖出 (SELL)  | 300347.SZ | ¥  81.98 |    -1312 股 | ¥161.3366
[2020-05-15]  卖出 (SELL)  | 002797.SZ | ¥   7.07 |   -14575 股 | ¥154.5679
[2020-05-15]  卖出 (SELL)  | 601377.SH | ¥   5.96 |   -17062 股 | ¥152.5343
[2020-05-15]  卖出 (SELL)  | 000762.SZ | ¥   6.91 |     -451 股 | ¥4.6746
[2020-05-15]  卖出 (SELL)  | 601398.SH | ¥   5.10 |     -467 股 | ¥3.5725
[2020-05-15]  买入 (BUY)   | 601288.SH | ¥   3.40 |    29393 股 | ¥149.9043
[2020-05-15]  卖出 (SELL)  | 601857.SH | ¥   4.42 |     -281 股 | ¥1.8630
[2020-05-15]  卖出 (SELL)  | 600050.SH | ¥   5.14 |     -158 股 | ¥1.2182
[2020-05-15]  买入 (BUY)   | 000002.SZ | ¥  25.61 |     3909 股 | ¥150.1642
[2020-05-15]  买入 (BUY)   | 601919.SH | ¥   3.36 |    29744 股 | ¥149.9098
[2020-05-15]  买入 (BUY)   | 000933.SZ | ¥   3.85 |    25949 股 | ¥149.8555
[2020-05-15]  买入 (BUY)   | 600733.SH | ¥   5.44 |    18283 股 | ¥149.1893
[2020-05-15]  买入 (BUY)   | 601668.SH | ¥   5.11 |    19576 股 | ¥150.0500
[2020-05-22]  卖出 (SELL)  | 000002.SZ | ¥  25.51 |    -3909 股 | ¥149.5779
[2020-05-22]  卖出 (SELL)  | 600733.SH | ¥   5.59 |   -18283 股 | ¥153.3030
[2020-05-22]  卖出 (SELL)  | 000762.SZ | ¥   6.93 |   -14379 股 | ¥149.4697
[2020-05-22]  卖出 (SELL)  | 000933.SZ | ¥   3.88 |   -25949 股 | ¥151.0232
[2020-05-22]  买入 (BUY)   | 600900.SH | ¥  16.98 |     5869 股 | ¥149.4834
[2020-05-22]  卖出 (SELL)  | 601857.SH | ¥   4.44 |     -198 股 | ¥1.3187
[2020-05-22]  买入 (BUY)   | 601398.SH | ¥   5.10 |       48 股 | ¥0.3672
[2020-05-22]  卖出 (SELL)  | 601288.SH | ¥   3.40 |      -11 股 | ¥0.0561
[2020-05-22]  买入 (BUY)   | 600050.SH | ¥   5.10 |       86 股 | ¥0.6579
[2020-05-22]  买入 (BUY)   | 601919.SH | ¥   3.27 |      899 股 | ¥4.4096
[2020-05-22]  买入 (BUY)   | 601668.SH | ¥   5.06 |      205 股 | ¥1.5559
[2020-05-22]  买入 (BUY)   | 601688.SH | ¥  17.64 |     5682 股 | ¥150.3457
[2020-05-22]  买入 (BUY)   | 000776.SZ | ¥  13.42 |     7405 股 | ¥149.0626
[2020-05-22]  买入 (BUY)   | 002142.SZ | ¥  25.80 |     3866 股 | ¥149.6142
[2020-05-29]  卖出 (SELL)  | 601919.SH | ¥   3.18 |   -30643 股 | ¥146.1671
[2020-05-29]  卖出 (SELL)  | 600900.SH | ¥  17.45 |    -5869 股 | ¥153.6211
[2020-05-29]  卖出 (SELL)  | 601688.SH | ¥  17.42 |    -5682 股 | ¥148.4707
[2020-05-29]  卖出 (SELL)  | 000776.SZ | ¥  13.19 |    -7405 股 | ¥146.5079
[2020-05-29]  卖出 (SELL)  | 002142.SZ | ¥  25.97 |    -3866 股 | ¥150.6000
[2020-05-29]  买入 (BUY)   | 601857.SH | ¥   4.28 |      640 股 | ¥4.1088
[2020-05-29]  买入 (BUY)   | 600050.SH | ¥   4.96 |      379 股 | ¥2.8198
[2020-05-29]  卖出 (SELL)  | 601288.SH | ¥   3.42 |     -503 股 | ¥2.5804
[2020-05-29]  卖出 (SELL)  | 601398.SH | ¥   5.14 |     -427 股 | ¥3.2922
[2020-05-29]  买入 (BUY)   | 000333.SZ | ¥  57.99 |     1703 股 | ¥148.1355
[2020-05-29]  买入 (BUY)   | 601377.SH | ¥   5.65 |    17408 股 | ¥147.5328
[2020-05-29]  买入 (BUY)   | 600196.SH | ¥  30.36 |     3266 股 | ¥148.7336
[2020-05-29]  卖出 (SELL)  | 601668.SH | ¥   5.00 |       -9 股 | ¥0.0675
[2020-05-29]  买入 (BUY)   | 600958.SH | ¥   9.25 |    10673 股 | ¥148.0879
[2020-05-29]  买入 (BUY)   | 601788.SH | ¥  10.93 |     9037 股 | ¥148.1616
[2020-06-05]  ⚠️ 订单失败 (资金不足/停牌) | 股票: 600887.SH
[2020-06-05]  卖出 (SELL)  | 601788.SH | ¥  11.05 |    -9037 股 | ¥149.7883
[2020-06-05]  卖出 (SELL)  | 600958.SH | ¥   9.35 |   -10673 股 | ¥149.6888
[2020-06-05]  卖出 (SELL)  | 601377.SH | ¥   5.81 |   -17408 股 | ¥151.7107
[2020-06-05]  卖出 (SELL)  | 600196.SH | ¥  30.99 |      -45 股 | ¥2.0918
[2020-06-05]  买入 (BUY)   | 601398.SH | ¥   5.19 |      117 股 | ¥0.9108
[2020-06-05]  买入 (BUY)   | 601288.SH | ¥   3.42 |      404 股 | ¥2.0725
[2020-06-05]  买入 (BUY)   | 601600.SH | ¥   2.82 |    35409 股 | ¥149.7801
[2020-06-05]  卖出 (SELL)  | 000333.SZ | ¥  58.99 |       -6 股 | ¥0.5309
[2020-06-05]  买入 (BUY)   | 601225.SH | ¥   7.16 |    13946 股 | ¥149.7800
[2020-06-05]  买入 (BUY)   | 601857.SH | ¥   4.31 |       25 股 | ¥0.1616
[2020-06-05]  买入 (BUY)   | 600028.SH | ¥   4.20 |    23832 股 | ¥150.1416
[2020-06-05]  买入 (BUY)   | 601668.SH | ¥   5.05 |       40 股 | ¥0.3030
[2020-06-12]  卖出 (SELL)  | 000333.SZ | ¥  58.70 |    -1697 股 | ¥149.4209
[2020-06-12]  卖出 (SELL)  | 600196.SH | ¥  31.60 |    -3221 股 | ¥152.6754
[2020-06-12]  卖出 (SELL)  | 600028.SH | ¥   3.99 |   -23832 股 | ¥142.6345
[2020-06-12]  买入 (BUY)   | 601225.SH | ¥   6.99 |      146 股 | ¥1.5308
[2020-06-12]  买入 (BUY)   | 601668.SH | ¥   4.98 |       46 股 | ¥0.3436
[2020-06-12]  卖出 (SELL)  | 601398.SH | ¥   5.23 |     -398 股 | ¥3.1223
[2020-06-12]  买入 (BUY)   | 601288.SH | ¥   3.37 |      152 股 | ¥0.7684
[2020-06-12]  买入 (BUY)   | 601857.SH | ¥   4.23 |      131 股 | ¥0.8312
[2020-06-12]  买入 (BUY)   | 601669.SH | ¥   3.41 |    28837 股 | ¥147.5013
[2020-06-12]  买入 (BUY)   | 600050.SH | ¥   4.90 |      128 股 | ¥0.9408
[2020-06-12]  买入 (BUY)   | 601788.SH | ¥  10.90 |     9077 股 | ¥148.4090
[2020-06-12]  买入 (BUY)   | 601600.SH | ¥   2.77 |      123 股 | ¥0.5111
[2020-06-12]  买入 (BUY)   | 601099.SH | ¥   3.10 |    31684 股 | ¥147.3306
[2020-06-19]  卖出 (SELL)  | 601398.SH | ¥   5.18 |   -18879 股 | ¥146.6898
[2020-06-19]  卖出 (SELL)  | 600050.SH | ¥   4.90 |   -20018 股 | ¥147.1323
[2020-06-19]  卖出 (SELL)  | 601600.SH | ¥   2.83 |   -35532 股 | ¥150.8333
[2020-06-19]  卖出 (SELL)  | 601788.SH | ¥  11.04 |    -9077 股 | ¥150.3151
[2020-06-19]  卖出 (SELL)  | 601669.SH | ¥   3.54 |   -28837 股 | ¥153.1245
[2020-06-19]  卖出 (SELL)  | 601099.SH | ¥   3.14 |   -31684 股 | ¥149.2316
[2020-06-19]  卖出 (SELL)  | 601225.SH | ¥   7.25 |   -14092 股 | ¥153.2505
[2020-06-19]  买入 (BUY)   | 601857.SH | ¥   4.27 |       10 股 | ¥0.0640
[2020-06-19]  买入 (BUY)   | 600048.SH | ¥  14.61 |     6828 股 | ¥149.6356
[2020-06-19]  买入 (BUY)   | 600028.SH | ¥   4.01 |    24879 股 | ¥149.6472
[2020-06-19]  买入 (BUY)   | 601288.SH | ¥   3.35 |      346 股 | ¥1.7387
[2020-06-19]  卖出 (SELL)  | 601668.SH | ¥   5.09 |     -218 股 | ¥1.6644
[2020-06-19]  买入 (BUY)   | 600919.SH | ¥   5.90 |    16881 股 | ¥149.3969
[2020-06-19]  买入 (BUY)   | 601377.SH | ¥   5.79 |    17260 股 | ¥149.9031
[2020-06-19]  买入 (BUY)   | 600958.SH | ¥   9.19 |    10856 股 | ¥149.6500
[2020-06-19]  买入 (BUY)   | 600900.SH | ¥  18.26 |     5484 股 | ¥150.2068
[2020-06-19]  买入 (BUY)   | 000002.SZ | ¥  25.95 |     3853 股 | ¥149.9780
[2020-06-30]  卖出 (SELL)  | 000002.SZ | ¥  26.10 |    -3853 股 | ¥150.8450
